,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
₱30 - ₱40,5,6,4,5,7,2
₱40 - ₱50,5,4,5,4,1,6
₱50 - ₱60,,,1,1,2,2
Boiled,1,1,1,2,2,4
Air Fried,9,9,9,8,8,6
Film Wrap Handheld Wrapper,6,6,6,9,7,8
Disposable Package Box ,3,4,5,1,3,2
"Scrambled",6,6,8,9,8,9
Runny Sunny Side Up,4,4,4,4,2,1
"Boiled",,,,1,,
Egg whites,,,,,,
Salt & Pepper,3,3,7,5,1,2
"Hot & Spicy",4,3,3,6,5,7
Sweet & Salty,3,5,3,3,6,6
Teriyaki,3,1,,,,2
Bacon,9,8,9,9,4,9
Fish Fillet,,2,3,2,4,1
Hamonado ,,,,1,1,
Homemade Burger Patty,1,1,,2,,
Cucumber,2,6,6,7,1,8
Lettuce,7,6,6,7,10,4
Pickles,,1,1,1,1,
Jalapeno,1,,1,,,
Sriracha Mayo,,,1,1,1,1
Garlic Mayo,3,2,1,2,3,5
Grilled Cheese,6,7,9,7,3,3
Ketchup & Mayo,1,1,1,3,3,2
For here,2,1,3,1,5,4
To go,8,9,7,9,5,6
Freshly-made,10,9,9,9,10,10
Pre-made,,1,1,1,,